2001,2002
2002,2003
2003,2005
2005,2006
2006,2007
2007,2009
2009,2010
2010,2012
2012,2016
2016,2017
2017,2018
2018,2019
2019,2020
2020,2021
2021,2022
2022,2023
2023,2024
2024,2025
2025,2026
2026,2027
2027,2030
2030,2031
2031,2033
2033,2034
2034,2035
2035,2036
2036,2037
2037,2038
2038,2040
2040,2041
2041,2043
2043,2044
2044,2045
2045,2046
2046,2047
2047,2048
2048,2050
2050,2052
2052,2054
2054,2056
2056,2057
2057,2058
2058,2060
2060,2061
2061,2063
2063,2064
2064,2066
2066,2067
2067,2001
3001,3003
3003,3004
3004,3005
3005,3006
3006,3008
3008,3009
3009,3010
3010,3011
3011,3012
3012,3013
3013,3014
3014,3015
3015,3017
3017,3018
3018,3020
3020,3021
3021,3022
3022,3023
3023,3024
3024,3025
3025,3026
3026,3028
3028,3029
3029,3030
3030,3032
3032,3034
3034,3035
3035,3036
3036,3037
3037,3038
3038,3039
3039,3040
3040,3041
3041,3042
3042,3043
3043,3044
3044,3046
3046,3049
3049,3051
3051,3052
3052,3053
3053,3054
3054,3055
3055,3057
3057,3059
3059,3060
3060,3062
3062,3063
3063,3064
3064,3065
3065,3066
3066,3068
3068,3069
3069,3071
3071,3074
3074,3001
4001,4002
4002,4003
4003,4004
4004,4005
4005,4006
4006,4007
4007,4008
4008,4009
4009,4010
4010,4011
4011,4012
4012,4013
4013,4014
4014,4015
4015,4016
4016,4017
4017,4018
4018,4019
4019,4020
4020,4021
4021,4022
4022,4025
4025,4026
4026,4027
4027,4028
4028,4029
4029,4030
4030,4031
4031,4032
4032,4033
4033,4034
4034,4035
4035,4036
4036,4037
4037,4038
4038,4039
4039,4040
4040,4041
4041,4042
4042,4043
4043,4045
4045,4046
4046,4047
4047,4048
4048,4049
4049,4050
4050,4051
4051,4052
4052,4053
4053,4054
4054,4056
4056,4059
4059,4060
4060,4061
4061,4062
4062,4063
4063,4064
4064,4065
4065,4066
4066,4001
11001,11002
11002,11003
11003,11004
11004,11005
11005,11006
11006,4020
11006,4019
11004,3029
11004,3030
11001,2035
11001,2034
21001,21002
21002,21003
21003,21004
21004,3040
21004,3039
21001,2043
21001,2041
31001,31002
31002,31003
31003,31005
31005,31007
31007,31009
31009,31010
31010,4047
31010,4048
31005,3057
31001,2056
31001,2054
31005,3059
41001,41002
41002,41003
41003,41004
41004,41005
41005,41006
41006,41007
41007,41008
41008,4040
41008,4039
41005,3049
41005,3046
41006,3049
41006,3046
41001,2054
41001,2056
41001,31001
51001,51002
51002,51003
51003,51004
51004,51006
51006,51007
51007,51008
51008,51009
51009,51010
51010,4048
51010,4049
51004,3060
51004,3062
51006,3060
51006,3062
51001,2058
51001,2060
61001,61002
61002,61003
61003,61004
61004,61005
61005,61006
61006,61007
61007,61009
61004,4043
61004,4045
61005,4043
61005,4045
61001,3051
61001,3052
